timestamp_utc,source,open,high,low,close,volume,taker_buy_vol,cvd,funding_rate,oi,oi_value,toptrader_ls_acct,toptrader_ls_pos,global_ls_acct,taker_ls_ratio,ep,vp,prof,unprof,vu,rekt,apex,whale,large,medium,small,ep_profPct,vu_profPct,ep_btc,vp_btc,prof_btc,unprof_btc,vu_btc,rekt_btc,apex_btc,whale_btc,large_btc,medium_btc,small_btc,ep_sn,ep_btc_sn,ep_ln,ep_btc_ln,tz,er,ecc,ecc_d1,ecc_d3,rv24,rv96,rv_ts,ma200,ma200_slope,adx,plus_di,minus_di,regime,vp_poc,vp_vah,vp_val,vp_delta,vp_poc_delta,vp_pos,vp_poc_dist,vp96_poc,vp96_vah,vp96_val,vp96_delta,vp96_poc_delta,vp96_pos,vp96_poc_dist,spot_close,basis,basis_pct,cvd_spot,cvd_spot_d,cvd_perp_d,cvd_div
2026-01-24 00:00,hourly,89558.7,89591.0,89383.5,89414.2,1266.587,712.648,158.71,1.531e-05,98253.1680000000000000,8785680378.7584000000000000,2.62591102,2.10470200,2.30679830,2.15795100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,na,,,,,,,,,,,WARMUP,89625.0,90075.0,88775.0,-1241.3,252.0,in_va,-0.236,90025.0,90625.0,88525.0,-15003.3,-1265.0,in_va,-0.683,89452.8,-38.6,-0.0432,-33.45,-33.45,,
2026-01-24 01:00,hourly,89414.2,89553.6,89410.6,89512.8,1019.166,512.096,163.74,1.531e-05,98326.1220000000000000,8801514784.9505790000000000,2.64814680,2.10992700,2.32877069,1.23714500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,na,,,,,,,,,0.000000,0.000000,WARMUP,89625.0,90075.0,88775.0,-954.2,252.0,in_va,-0.125,90025.0,90625.0,88550.0,-15144.0,-1265.0,in_va,-0.572,89550.2,-37.4,-0.0418,-17.63,15.82,5.03,-10.79
2026-01-24 02:00,hourly,89512.8,89680.0,89512.8,89666.2,1224.614,738.963,417.05,1.531e-05,98256.2000000000000000,8809490515.8093280000000000,2.65217391,2.10784400,2.35440964,2.35242300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,na,,,4.04,4.04,1.0,,,,42.135340,0.000000,WARMUP,89500.0,90075.0,88775.0,-1105.6,286.0,in_va,0.185,90025.0,90625.0,88550.0,-14756.3,-1265.0,in_va,-0.4,89702.9,-36.7,-0.0409,-10.47,7.16,253.31,246.15
2026-01-24 03:00,hourly,89666.3,89893.9,89631.6,89738.4,2388.182,1501.906,1032.68,1.531e-05,98653.5200000000000000,8851657485.9440000000000000,2.63542976,2.10137100,2.35551343,0.95403800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,na,,,4.33,4.33,1.0,,,,61.249224,0.000000,WARMUP,89500.0,90075.0,88775.0,-665.5,286.0,in_va,0.266,90025.0,90625.0,88625.0,-14750.6,-1265.0,in_va,-0.319,89770.0,-31.6,-0.0352,-16.84,-6.36,615.63,621.99
2026-01-24 04:00,hourly,89738.4,89820.1,89673.4,89806.7,954.269,507.886,1094.18,1.531e-05,98621.2540000000000000,8853551129.4786170000000000,2.65279331,2.10420400,2.36346594,6.84543200,45.28,43.34,49.96,74.17,77.69,84.26,,59.99,,,,,,,,,,,,,,,,,1863048304.0,,1541801305.0,,,1.0,na,,,4.1,4.1,1.0,,,,47.402855,0.000000,WARMUP,89500.0,90075.0,88775.0,-11.2,286.0,in_va,0.342,90025.0,90600.0,88650.0,-14059.2,-1265.0,in_va,-0.243,89829.4,-22.7,-0.0253,-21.6,-4.76,61.5,66.26
2026-01-24 05:00,hourly,89806.8,89817.4,89715.5,89744.5,866.942,462.065,1151.37,1.531e-05,98670.5660000000000000,8855238651.7495480000000000,2.65489248,2.10966100,2.37232905,2.25954800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.726,na,,,8.28,8.28,1.0,,,,40.546174,0.000000,WARMUP,89500.0,90100.0,88775.0,87.5,286.0,in_va,0.272,90025.0,90575.0,88650.0,-12598.9,-1265.0,in_va,-0.313,89775.2,-30.7,-0.0342,-26.14,-4.54,57.19,61.73
2026-01-24 06:00,hourly,89744.5,89747.1,89610.5,89612.4,1073.904,402.191,881.85,1.531e-05,98592.6500000000000000,8834995818.4150000000000000,2.64753331,2.11966200,2.35771669,0.45378200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.338,na,,,11.24,11.24,1.0,,,,33.541964,13.278465,WARMUP,89750.0,90125.0,88775.0,486.7,255.2,in_va,-0.154,90025.0,90475.0,88675.0,-10972.3,-1265.0,in_va,-0.46,89649.3,-36.9,-0.0412,-165.99,-139.86,-269.52,-129.66
2026-01-24 07:00,hourly,89612.4,89667.6,89530.6,89581.2,1109.13,593.57,959.86,1.531e-05,98670.2350000000000000,8842513969.5989990000000000,2.65302959,2.12037600,2.35819018,0.63705000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,na,,,10.57,10.57,1.0,,,,28.267778,20.361044,WARMUP,89625.0,90150.0,88775.0,307.9,104.1,in_va,-0.049,90025.0,90400.0,88700.0,-9153.6,-1265.0,in_va,-0.495,89620.1,-38.9,-0.0434,-204.99,-39.0,78.01,117.01
2026-01-24 08:00,hourly,89581.3,89659.2,89549.2,89635.2,903.97,532.271,1120.43,8.909e-05,98628.8720000000000000,8841516190.2296000000000000,2.66945138,2.11891800,2.37419551,3.20453800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329,na,,,9.85,9.85,1.0,,,,24.884397,17.924023,WARMUP,89625.0,90150.0,88775.0,259.5,225.1,in_va,0.011,90025.0,90400.0,88750.0,-10041.9,-1265.0,in_va,-0.435,89660.9,-25.7,-0.0287,-256.45,-51.47,160.57,212.04
2026-01-24 09:00,hourly,89635.3,89635.3,89554.2,89567.4,957.084,536.721,1236.79,8.909e-05,98810.3050000000000000,8850191993.0875000000000000,2.66702757,2.11090800,2.36758559,2.09054800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.207,na,,,9.79,9.79,1.0,,,,22.724802,16.368485,WARMUP,89625.0,90175.0,88775.0,675.9,229.1,in_va,-0.064,90025.0,90400.0,88800.0,-9625.1,-1265.0,in_va,-0.511,89600.0,-32.6,-0.0364,-319.62,-63.16,116.36,179.52
