create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-22 00:05:00,BTCUSDT,100753.9970000000000000,7809553425.2568810000000000,1.22141289,1.06988000,1.23847544,0.72976600
2026-05-22 00:10:00,BTCUSDT,100756.6180000000000000,7808386003.4550000000000000,1.22091363,1.06969300,1.23776591,0.63819900
2026-05-22 00:15:00,BTCUSDT,100781.0850000000000000,7801608650.2444660000000000,1.21998002,1.07009600,1.23482357,0.86223500
2026-05-22 00:20:00,BTCUSDT,100789.2940000000000000,7805364821.6656000000000000,1.22116689,1.06982600,1.23576569,1.10408100
2026-05-22 00:25:00,BTCUSDT,100782.1730000000000000,7811435250.6635030000000000,1.22177383,1.07010400,1.23602095,1.64016800
2026-05-22 00:30:00,BTCUSDT,100814.0780000000000000,7808789603.1729180000000000,1.22206746,1.07031800,1.23609760,0.93664900
2026-05-22 00:35:00,BTCUSDT,100823.9290000000000000,7813429917.7063930000000000,1.22331589,1.07050300,1.23705439,1.67815200
2026-05-22 00:40:00,BTCUSDT,100786.5920000000000000,7802908031.2992000000000000,1.22359183,1.07072700,1.23685962,1.10306700
2026-05-22 00:45:00,BTCUSDT,100786.0490000000000000,7804448333.1542000000000000,1.22326803,1.06995600,1.23618078,1.06895800
2026-05-22 00:50:00,BTCUSDT,100781.1440000000000000,7802101229.7605970000000000,1.22354181,1.06968500,1.23713847,0.59924600
2026-05-22 00:55:00,BTCUSDT,100786.2950000000000000,7796716916.2755000000000000,1.22343675,1.06975000,1.23598179,0.60782000
2026-05-22 01:00:00,BTCUSDT,100772.9240000000000000,7794261652.1952000000000000,1.22279154,1.06936900,1.23542498,0.49872800
2026-05-22 01:05:00,BTCUSDT,100752.4060000000000000,7788585951.6078910000000000,1.22289286,1.06987400,1.23366815,0.88579700
2026-05-22 01:10:00,BTCUSDT,100745.2730000000000000,7795082852.9393150000000000,1.22310906,1.07017200,1.23337293,2.25169000
2026-05-22 01:15:00,BTCUSDT,100738.1420000000000000,7805616922.1292570000000000,1.22355168,1.07020400,1.23442830,2.52325700
2026-05-22 01:20:00,BTCUSDT,100858.6980000000000000,7817507252.6310000000000000,1.22126309,1.06934100,1.23274366,3.59687600
2026-05-22 01:25:00,BTCUSDT,100842.2700000000000000,7806853075.1293560000000000,1.24339143,1.06966800,1.24961521,1.29977200
2026-05-22 01:30:00,BTCUSDT,100834.5440000000000000,7808538331.9544190000000000,1.24362745,1.06961100,1.25025872,0.55347900
2026-05-22 01:35:00,BTCUSDT,100832.2190000000000000,7802063763.5967310000000000,1.24412123,1.07015300,1.25106416,1.08615000
2026-05-22 01:40:00,BTCUSDT,100806.5050000000000000,7802514749.0281710000000000,1.24441539,1.06973200,1.25070171,1.23778100
2026-05-22 01:45:00,BTCUSDT,100785.7210000000000000,7809774655.9969000000000000,1.24496321,1.06968000,1.25146524,0.90040400
2026-05-22 01:50:00,BTCUSDT,100716.2080000000000000,7814842512.4816000000000000,1.24571927,1.06983300,1.25457280,2.23804900
