create_time,symbol,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2026-05-25 01:20:00,BTCUSDT,99388.2610000000000000,7669445816.8242000000000000,1.18744136,1.12456900,1.15672057,1.36401900
2026-05-25 01:25:00,BTCUSDT,99364.7160000000000000,7670787155.1828000000000000,1.18780587,1.12460200,1.15729930,0.67843400
2026-05-25 01:30:00,BTCUSDT,99368.1130000000000000,7665452250.5037880000000000,1.18730579,1.12431200,1.15716614,0.55597700
2026-05-25 01:35:00,BTCUSDT,99369.5960000000000000,7666115907.4100000000000000,1.18608667,1.12406000,1.15541056,0.84049000
2026-05-25 01:40:00,BTCUSDT,99361.3720000000000000,7660677768.9998580000000000,1.18559730,1.12434700,1.15466460,0.85885600
2026-05-25 01:45:00,BTCUSDT,99423.4880000000000000,7664038975.9678920000000000,1.18500780,1.12430200,1.15386402,0.79245000
2026-05-25 01:50:00,BTCUSDT,99345.2550000000000000,7658903219.9190000000000000,1.18336144,1.12417100,1.15211536,0.77751900
2026-05-25 01:55:00,BTCUSDT,99328.0700000000000000,7649870504.7340000000000000,1.18168163,1.12392600,1.14955219,0.43310100
2026-05-25 02:00:00,BTCUSDT,99261.5480000000000000,7635168493.6956000000000000,1.17668038,1.12425000,1.14285714,0.62756400
2026-05-25 02:05:00,BTCUSDT,99287.8420000000000000,7651129981.4289450000000000,1.17459332,1.12256300,1.14043562,1.14386200
2026-05-25 02:10:00,BTCUSDT,99414.3720000000000000,7691115709.6480270000000000,1.16793044,1.12160100,1.14070203,2.59428400
2026-05-25 02:15:00,BTCUSDT,99437.1940000000000000,7693157159.7808220000000000,1.16701260,1.12124100,1.14013189,0.87518500
2026-05-25 02:20:00,BTCUSDT,99447.6200000000000000,7681129145.2804170000000000,1.16660601,1.11969500,1.13944290,0.69726000
2026-05-25 02:25:00,BTCUSDT,99428.6600000000000000,7673486378.4280000000000000,1.16545095,1.11923700,1.13932890,0.56686600
2026-05-25 02:30:00,BTCUSDT,99326.5630000000000000,7658793158.5536000000000000,1.16749991,1.11860400,1.14102910,1.01653400
2026-05-25 02:35:00,BTCUSDT,99321.7970000000000000,7651632054.7236000000000000,1.16809973,1.11873800,1.14175221,0.92718300
2026-05-25 02:40:00,BTCUSDT,99315.2130000000000000,7660399735.8267070000000000,1.16831505,1.11904300,1.14365322,1.66101400
2026-05-25 02:45:00,BTCUSDT,99311.1720000000000000,7659701867.3676000000000000,1.16605902,1.11904000,1.14213895,0.84718400
2026-05-25 02:50:00,BTCUSDT,99306.2520000000000000,7658611844.1753810000000000,1.16640925,1.11946900,1.14267214,0.93590300
